method,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std,shd_mean,shd_std,time_mean
PCMCI,0.9930629244368558,0.014143678147739215,0.9994260264502596,0.0018033609194683601,0.9974522758432474,0.005994630191692074,0.3888888888888889,0.8498365855987975,2.394
VarLiNGAM,0.9873825314090379,0.022652254478817274,0.9955198559546913,0.009240394438440151,0.9911272914443219,0.017255889976809415,0.5555555555555556,1.0416176459053668,2.012944444444445
GOLEM,0.9532293981382495,0.07836725290340835,0.9928514447448515,0.011289844544033383,0.966366179279554,0.07733994878558688,5.125,14.250286038319127,0.2900833333333333
NTS-NOTEARS,0.946868988894851,0.06407591022599068,0.9559391294899532,0.05479496744819005,0.9383749642457072,0.07664535566512194,1.0833333333333333,1.5642792899510294,17.741
VAR-Lasso,0.9454266866600185,0.08614738594695588,0.9875143577320794,0.017111878443544733,0.9529633754412777,0.09837294527243984,5.416666666666667,14.264326640004905,1.3864583333333333
GC-KAN,0.899963924963925,0.0902376484453454,0.954037458600211,0.062269635434672094,0.9284645429337025,0.0718178574336094,2.5833333333333335,3.088345639315455,24.216583333333332
CD-KAN,0.8953286668232607,0.11196866999041792,0.9615768646865311,0.04842690373887839,0.9167975310826778,0.10882875517646282,8.333333333333334,16.279265731402727,5.4835416666666665
GC-KAN+ALM,0.8911398806936331,0.10023830058588773,0.9563687765355481,0.056134523679149055,0.9277801315015483,0.07462562925951746,2.9166666666666665,3.4761089357690356,25.393416666666667
Correlation,0.8138710234592169,0.1448204168153909,0.9600621554845103,0.047053842184706846,0.8520979564891826,0.15425196535685795,16.833333333333332,31.491429705993603,0.06275
NOTEARS,0.683184837347286,0.33755573459841387,0.8296757141305281,0.1723893646087152,0.6740498354616284,0.36380174699238854,47.625,115.21768150086505,0.26145833333333335
Neural-GC,0.4482221652571604,0.22389525499963625,0.7415770843510541,0.10906802060361806,0.35704528799679974,0.24589979701701103,41.77777777777778,57.41444331049109,23.81377777777778
