baseline,n_pairs,cdkan_mean,base_mean,wilcoxon_W,p_value
Correlation,24,0.688,0.715,69.0,0.4722941755398442
GC-KAN,12,0.815,0.799,0.0,0.0625
GC-KAN+ALM,12,0.815,0.795,0.0,0.0625
GOLEM,24,0.688,0.794,1.0,0.0018714329102470324
NOTEARS,24,0.688,0.605,6.0,0.003510363671504142
NTS-NOTEARS,12,0.815,0.827,5.0,0.15625
Neural-GC,18,0.811,0.428,0.0,0.0006533107814151376
PCMCI,15,0.893,0.955,0.0,0.007632441648205508
VAR-Lasso,19,0.798,0.922,1.0,0.0028734139278525227
VarLiNGAM,15,0.893,0.944,1.0,0.010792782163388177
