model,seed,mse,mae,time_s
CD-KAN,42,0.04422203451395035,0.1452513411641121,47.8
CD-KAN,43,0.044189054518938065,0.14549890533089638,48.1
LSTM,42,3.380132734775543,1.2944492399692535,5.7
LSTM,43,3.238341510295868,1.2447561025619507,5.4
TSMixer,42,0.2550801932811737,0.39668524265289307,8.1
TSMixer,43,0.23261775448918343,0.34928448498249054,8.1
PatchTST,42,2.3178257942199707,0.9648589789867401,6.9
PatchTST,43,2.2933487594127655,0.9736841917037964,6.8
N-BEATS,42,1.4611965417861938,0.8289752006530762,1.6
N-BEATS,43,0.9401672333478928,0.6958446055650711,1.7
