d,seed,method,auroc,auprc,f1,time_s
6,0,CD-KAN,0.9711538461538461,0.8928571428571428,0.8571428571428571,1.5
6,0,DAGMA-nonlinear,0.7596153846153847,0.4816666666666667,0.6666666666666666,35.7
6,0,NOTEARS-MLP,0.5384615384615384,0.18384173297966402,0.35294117647058826,1.0
6,0,DAGMA-linear,0.2692307692307693,0.11387869376999811,0.2962962962962963,0.6
6,0,NOTEARS-linear,0.75,0.3056077694235589,0.5454545454545454,0.2
6,1,CD-KAN,0.9583333333333334,0.9166666666666666,0.9090909090909091,0.8
6,1,DAGMA-nonlinear,0.4027777777777778,0.19242335340733507,0.375,36.7
6,1,NOTEARS-MLP,0.7152777777777777,0.3181610056610057,0.5454545454545454,1.2
6,1,DAGMA-linear,0.7222222222222222,0.46383442265795205,0.6666666666666666,0.8
6,1,NOTEARS-linear,0.8333333333333333,0.47242572242572245,0.631578947368421,0.2
6,2,CD-KAN,0.9027777777777778,0.8833333333333333,0.9090909090909091,0.9
6,2,DAGMA-nonlinear,0.38888888888888884,0.2819184775476366,0.4,38.3
6,2,NOTEARS-MLP,0.5902777777777778,0.26540322422675366,0.4444444444444444,1.1
6,2,DAGMA-linear,0.5277777777777778,0.36231247013855705,0.3870967741935484,1.0
6,2,NOTEARS-linear,0.6805555555555556,0.3938359788359788,0.5333333333333333,0.2
6,3,CD-KAN,0.8333333333333334,0.7840909090909091,0.8,0.9
6,3,DAGMA-nonlinear,0.9166666666666666,0.7727564102564102,0.7272727272727273,38.2
6,3,NOTEARS-MLP,0.7361111111111112,0.4681610056610056,0.5263157894736842,1.1
6,3,DAGMA-linear,0.29861111111111116,0.1632777305117122,0.375,0.9
6,3,NOTEARS-linear,0.6736111111111112,0.30448114687245126,0.5555555555555556,0.2
6,4,CD-KAN,0.7152777777777778,0.6366386554621848,0.6666666666666666,0.9
6,4,DAGMA-nonlinear,0.548611111111111,0.476122461416579,0.5,38.2
6,4,NOTEARS-MLP,0.4444444444444444,0.202901043458319,0.4,1.1
6,4,DAGMA-linear,0.15972222222222227,0.1412660853315526,0.34285714285714286,0.8
6,4,NOTEARS-linear,0.548611111111111,0.27735551485551485,0.5333333333333333,0.2
10,0,CD-KAN,0.9012345679012346,0.9012345679012346,0.9411764705882353,1.1
10,0,DAGMA-nonlinear,0.8257887517146776,0.5567577391549146,0.6,63.2
10,0,NOTEARS-MLP,0.5404663923182442,0.11180793700648324,0.26666666666666666,1.3
